Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R2,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,157.86,-113.66,180.0,bottom
R20,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,145.805824,-72.584176,45.0,top
R21,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,139.62,-72.44,-45.0,top
R3,1.8k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,163.38,-115.8075,90.0,bottom
R4,5.1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,157.8125,-114.55,0.0,bottom
R5,46.4k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,136.1025,-80.88,0.0,top
R50,1.8k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,161.6975,-116.27,180.0,bottom
R6,5.1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,157.92,-116.35,0.0,bottom
R7,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,136.24,-78.0425,90.0,top
R8,100k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,135.26,-92.04,180.0,top
R9,100k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,133.3425,-92.01,180.0,top
S1,Vol+,SW_TS-1088-AR02016,147.83,-107.23,0.0,top
S2,Right,SW_TS-1088-AR02016,147.19,-113.31,0.0,top
S3,Vol-,SW_TS-1088-AR02016,130.49,-106.81,0.0,top
S4,Back,SW_TS-1088-AR02016,130.405,-119.08,0.0,top
S5,Select,SW_TS-1088-AR02016,138.9,-112.94,0.0,top
S6,Up,SW_TS-1088-AR02016,138.86,-106.81,0.0,top
S7,Down,SW_TS-1088-AR02016,139.08,-118.94,0.0,top
S8,Left,SW_TS-1088-AR02016,130.135,-113.23,0.0,top
S9,Power On/Off,SW_TS-1088-AR02016,156.24,-67.92,0.0,top
U1,STM32F401VEH6,UFBGA-100_L7.0-W7.0-P0.50-TL_ST_STM32,142.002893,-77.102233,135.0,top
U2,TI TPA6132A2RTER,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6,164.23,-87.77,-90.0,top
U3,VLSI VS1063A-L,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,155.98,-77.17,45.0,top
U4,HYCW19-TF09-205B,MICRO-SD-SMD_HYCW19-TF09-205B,158.91,-56.935,180.0,top
U5,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,135.43,-84.34,0.0,top
U6,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,148.63,-95.36,0.0,top
Y1,Crystal,Crystal_SMD_MicroCrystal_CC1V-T1A-2Pin_8.0x3.7mm_HandSoldering,160.45,-109.08,0.0,bottom
